rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
209,frame_0100.jpg,40.0,0.32,0.424,0.3333,0.04,6,2,False,False
210,frame_0231.jpg,92.4,0.3192,0.4744,0.1667,0.16,10,1,False,False
211,frame_0367.jpg,146.8,0.3154,0.4987,0.1667,0.08,12,1,False,False
212,frame_0220.jpg,88.0,0.3153,0.3186,0.3333,0.28,4,2,False,False
213,frame_0102.jpg,40.8,0.307,0.4659,0.1667,0.12,7,1,False,False
214,frame_0398.jpg,159.2,0.3056,0.4151,0.1667,0.24,10,1,False,False
215,frame_0294.jpg,117.6,0.3037,0.3195,0.0,0.72,6,0,False,False
216,frame_0206.jpg,82.4,0.2986,0.2932,0.0,0.76,3,0,False,False
217,frame_0226.jpg,90.4,0.2963,0.4765,0.1667,0.04,4,1,False,False
218,frame_0224.jpg,89.6,0.2947,0.3415,0.3333,0.12,10,2,False,False
219,frame_0092.jpg,36.8,0.2929,0.4738,0.0,0.28,4,0,False,False
220,frame_0395.jpg,158.0,0.2927,0.3374,0.3333,0.12,7,2,False,False
221,frame_0123.jpg,49.2,0.2867,0.2174,0.1667,0.64,8,1,False,False
222,frame_0094.jpg,37.6,0.2844,0.2888,0.3333,0.2,6,2,False,False
223,frame_0389.jpg,155.6,0.284,0.42,0.1667,0.12,10,1,False,False
224,frame_0095.jpg,38.0,0.2829,0.5017,0.0,0.16,7,0,False,False
225,frame_0118.jpg,47.2,0.2814,0.3868,0.0,0.44,7,0,False,False
226,frame_0025.jpg,10.0,0.2766,0.1531,0.0,1.0,4,0,False,False
227,frame_0192.jpg,76.8,0.276,0.3719,0.1667,0.2,5,1,False,False
228,frame_0130.jpg,52.0,0.2756,0.1832,0.0,0.92,6,0,False,False
229,frame_0225.jpg,90.0,0.2743,0.4166,0.1667,0.08,11,1,False,False
230,frame_0184.jpg,73.6,0.2737,0.3155,0.3333,0.08,7,2,False,False
231,frame_0393.jpg,157.2,0.2716,0.4271,0.1667,0.04,10,1,False,False
232,frame_0177.jpg,70.8,0.2696,0.4592,0.0,0.2,9,0,False,False
233,frame_0023.jpg,9.2,0.2683,0.1366,0.0,1.0,4,0,False,False
234,frame_0024.jpg,9.6,0.2681,0.1362,0.0,1.0,4,0,False,False
235,frame_0104.jpg,41.6,0.2673,0.2866,0.3333,0.12,7,2,False,False
236,frame_0091.jpg,36.4,0.2566,0.3853,0.0,0.32,4,0,False,False
237,frame_0010.jpg,4.0,0.2551,0.1103,0.0,1.0,2,0,False,False
238,frame_0196.jpg,78.4,0.2537,0.3634,0.0,0.36,3,0,False,False
239,frame_0210.jpg,84.0,0.2531,0.2343,0.0,0.68,4,0,False,False
240,frame_0103.jpg,41.2,0.2503,0.3366,0.1667,0.16,5,1,False,False
241,frame_0271.jpg,108.4,0.2405,0.3649,0.1667,0.04,6,1,False,False
242,frame_0216.jpg,86.4,0.2388,0.2015,0.1667,0.44,4,1,False,False
243,frame_0198.jpg,79.2,0.2297,0.2833,0.0,0.44,3,0,False,False
244,frame_0122.jpg,48.8,0.225,0.21,0.0,0.6,6,0,False,False
245,frame_0375.jpg,150.0,0.2123,0.3446,0.0,0.2,9,0,False,False
246,frame_0121.jpg,48.4,0.209,0.1939,0.0,0.56,5,0,False,False
247,frame_0101.jpg,40.4,0.199,0.266,0.1667,0.08,6,1,False,False
248,frame_0311.jpg,124.4,0.1894,0.2628,0.1667,0.04,7,1,False,False
249,frame_0117.jpg,46.8,0.1718,0.1835,0.0,0.4,6,0,False,False
250,frame_0218.jpg,87.2,0.169,0.1941,0.0,0.36,5,0,False,False
251,frame_0183.jpg,73.2,0.1579,0.1998,0.1667,0.04,6,1,False,False
252,frame_0189.jpg,75.6,0.1516,0.2711,0.0,0.08,5,0,False,False
253,frame_0217.jpg,86.8,0.1274,0.0948,0.0,0.4,3,0,False,False
254,frame_0313.jpg,125.2,0.1252,0.2344,0.0,0.04,6,0,False,False
255,frame_0112.jpg,44.8,0.1155,0.151,0.0,0.2,5,0,False,False
256,frame_0111.jpg,44.4,0.0966,0.1293,0.0,0.16,5,0,False,False
